date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:34	234/234	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2018:34:56%20GMT	https://demo74.leotheme.com/robots.txt		(from )
21:35:35	429868/429868	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2018:34:57%20GMT	https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/	C:/Users/Orange/Desktop/EO/demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/index.html	(from )
21:35:36	1138956/1138956	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Jul%202024%2009:52:11%20GMT	https://demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/themes/at_fashionstyle/assets/cache/theme-4c5d1a24.css	C:/Users/Orange/Desktop/EO/demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/themes/at_fashionstyle/assets/cache/theme-4c5d1a24.css	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:36	75174/75174	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2018:34:59%20GMT	https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/login?create_account=1&SubmitCurrency=1&id_currency=2	C:/Users/Orange/Desktop/EO/demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/login24ee.html	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:37	74812/74812	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2018:34:59%20GMT	https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/login?create_account=1&SubmitCurrency=1&id_currency=1	C:/Users/Orange/Desktop/EO/demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/login28e8.html	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:37	73980/73980	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2018:35:00%20GMT	https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/login?create_account=1	C:/Users/Orange/Desktop/EO/demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/loginca5f.html	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:37	455/455	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Sep%202022%2002:25:55%20GMT	https://demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/1.jpg	C:/Users/Orange/Desktop/EO/demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/1.jpg	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:37	562/562	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Sep%202022%2008:50:32%20GMT	https://demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/2.jpg	C:/Users/Orange/Desktop/EO/demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/2.jpg	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:38	540/540	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Sep%202022%2008:50:32%20GMT	https://demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/3.jpg	C:/Users/Orange/Desktop/EO/demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/3.jpg	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:38	539/539	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Sep%202022%2008:50:32%20GMT	https://demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/4.jpg	C:/Users/Orange/Desktop/EO/demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/4.jpg	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:38	565/565	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Sep%202022%2008:50:32%20GMT	https://demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/5.jpg	C:/Users/Orange/Desktop/EO/demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/5.jpg	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:38	566/566	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Sep%202022%2008:50:32%20GMT	https://demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/6.jpg	C:/Users/Orange/Desktop/EO/demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/l/6.jpg	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:39	2126/2126	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Sep%202022%2008:50:29%20GMT	https://demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/logo-1655650891.jpg	C:/Users/Orange/Desktop/EO/demo74leotheme.b-cdn.net/prestashop/at_fashionstyle_demo/img/logo-1655650891.jpg	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:40	431596/431596	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2018:35:02%20GMT	https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/home-1.html	C:/Users/Orange/Desktop/EO/demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/home-1.html	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:40	9063/9063	---M--	200	added ('OK')	image/jpeg	date:Tue,%2030%20Jul%202024%2018:35:02%20GMT	https://cdn.shopify.com/s/files/1/0577/9675/5633/files/at_fashionstyle_homepage-1.jpg?v=1658627017	C:/Users/Orange/Desktop/EO/cdn.shopify.com/s/files/1/0577/9675/5633/files/at_fashionstyle_homepage-1465d.jpg	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
21:35:41	243208/243208	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2018:35:03%20GMT	https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/home-2.html	C:/Users/Orange/Desktop/EO/demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/home-2.html	(from https://demo74.leotheme.com/prestashop/at_fashionstyle_demo/en/)
